Tweet,unnecessary,mandatory,pharma,conspiracy,political,country,rushed,ingredients,side-effect,ineffective,religious,none
"['If the risk of covid is the same as the flu for young people, why is it so urgent for young people to get this shot?', 'If the risk of covid is the same as the flu for young people, why is it so urgent for them to get this shot?', 'If the risk of covid is the same for young people as it is for the flu, why is it so important for young people to get this shot?', 'If the risk of covid is the same as the flu for young people, why is it so urgent for them to get this vaccine?']",1,0,0,0,0,0,1,0,1,0,0,0
"[""I'll take covid with the vaccine's symptoms over a big pharma no liability lab and a cooked vaccine."", ""I'll take covid with the vaccine's symptoms over a big pharma no liability lab and a cooked vaccine, thank you."", ""I'll take covid with the vaccine's symptoms over a big pharma no liability lab and a cooked vaccine thank you."", ""I'll take covid with the vaccine's symptoms over a big pharma no liability or indemnity lab, thank you.""]",1,0,1,0,0,0,0,0,0,0,0,0
"['Novavax, a company that has brought nothing to market, was given $1.6 billion by the taxpayers.', 'Novavax, a company that has brought nothing to market, was given $1.6 billion by taxpayers.', ""Novavax, a company that has brought nothing to market, received $1.6 billion in taxpayers' money."", 'Novavax, a company that has brought nothing to market, was given $1.6 billion by the government.']",0,0,1,0,0,0,0,0,0,0,0,0
"['They probably have a decent vaccine, but who can trust it when they keep getting sloppy and/or messing with the data?', 'They probably have a decent vaccine, but who can trust it when they keep getting sloppy and messing with the data?', 'They probably have a decent vaccine, but who can trust it when they keep getting sloppy and/or messing with the data.', 'They probably have a decent vaccine, but who can trust it when they keep getting sloppy and messing with the data.']",0,0,0,0,0,0,1,0,0,0,0,0
"['After taking the Pfizer CV vacc, volunteers are having false positive HIV tests.', 'After taking the Pfizer CV vaccs, volunteers are having false positive HIV tests.', 'After taking the Pfizer CV vacc, volunteers are having false positive HIV test results.', 'After taking the Pfizer CV vacc, volunteers are having false positives for HIV.']",0,0,0,0,0,0,0,1,1,0,0,0
"['The FDA is investigating allergic reactions to the Pfizer vaccine reported in multiple states.', 'The FDA is investigating allergic reactions to the Pfizer vaccine.', 'The Pfizer vaccine is being investigated by the FDA due to reports of allergic reactions.', 'The Pfizer vaccine is being investigated by the FDA due to reports of allergic reactions in multiple states.']",0,0,0,0,0,0,0,0,1,0,0,0
"['The J&J vax is not much better than the Astra-Zeneca in terms of preventing severe illness.', 'The J&J vax is not much better than the Astra-Zeneca in terms of preventing severe illness and COVID infections.', 'The J&J vax is not much better than the Astra-Zeneca in terms of preventing COVID infections, moderate, and possibly inferior in terms of preventing severe illness.', 'The J&J vax is not much better than the Astra-Zeneca in terms of preventing COVID infections and severe illness.']",0,0,0,0,0,0,0,0,0,1,0,0
"[""I don't think the Queen is a good person, though."", ""I'm an anti vaxer, but I couldn't give a toss about the Queen."", ""I don't think the Queen is a good person, though. I see the government lovers getting upset that the open minded, critical thinkers are able to voice their opinions."", ""I don't think the Queen is a good person, but I think the government lovers are upset that the open minded, critical thinkers are able to voice their opinions.""]",1,0,0,0,1,0,0,0,0,0,0,0
"['Some people who have serious allergies to vaccine components are going to be turned into social lepers.', 'Some people who have serious allergies to vaccine components will be turned into social lepers.', 'Some people with vaccine allergies will be turned into social lepers.', 'Some people who have serious allergies to vaccine components are going to be turned into lepers.']",0,1,0,0,0,0,0,0,0,0,0,0
"['I think the elderly should not have a vaccine.', 'I think the elderly should not have the vaccine.', 'I am starting to think that the elderly should not have a vaccine.', 'I am starting to think the elderly should not have a vaccine.']",0,0,0,0,0,0,0,0,0,0,0,1
"['The safety committee of the European Medicines Agency said on Friday that capillary leak syndrome is a new side effect after taking a vaccine.', 'The safety committee of the European Medicines Agency said that capillary leak syndrome is a new side effect after taking a vaccine.', 'The safety committee of the European Medicines Agency said on Friday that capillary leak syndrome is a new side effect of the vaccine.', 'The safety committee of the European Medicines Agency said on Friday that capillary leak syndrome is a new side effect after taking the vaccine.']",0,0,0,0,0,0,0,0,1,0,0,0
"[""I'm not taking a vaccine until I see how many people die."", ""I'm not taking a vaccine until I know how many people will die."", 'I am not taking a vaccine until I know how many people will die.', ""I'm not taking a vaccine until I know how many people will die from it.""]",0,0,0,0,0,0,1,0,0,0,0,0
"[""It's going to be put back in with his vaccine."", 'It was going to be put back in with his vaccine.', 'It was going to put it back in with his vaccine.', 'It was put back in with his vaccine.']",0,0,1,1,0,0,0,0,0,0,0,0
"['Sweden banned the use of masks if you had a note from a doctor stating you had Covid-19.', 'When Covid started, Sweden banned the use of masks unless you had a note from a doctor stating you had Covid-19.', ""When Covid started, Sweden banned the use of masks unless you had a doctor's note."", ""When Covid started, Sweden banned the use of masks unless you had a doctor's note stating you had Covid-19.""]",1,0,0,0,0,0,0,0,0,0,0,0
"['23 people suddenly die after being jabbed by Pfizer.', '23 people suddenly died after being jabbed by Pfizer.', ""23 people suddenly die after being jabbed by Pfizer, it's a vaccine horror."", ""23 people suddenly die after being jabbed by Pfizer, it's vaccine horror.""]",0,0,0,0,0,0,0,0,1,0,0,0
"['You know that you can still be a carrier even after being vaccine free, so why should they be restrained?', ""You know that you can still be a carrier even if you didn't get vaccine, so why should they be restrained?"", ""You know that you can still be a carrier even after being vaccine free, so why shouldn't they?"", ""You know that you can still be a carrier even after being vaccine free, so why shouldn't someone else?""]",0,0,0,0,0,0,0,0,0,1,0,0
"['Out of 112,807 people who received the vaccine, 3,150 were ""incapacitated"" after the first shot.', 'Out of 112,807 people who received the vaccine, 3,150 were ""incapacitated"", unable to perform normal daily activities, unable to work, or required care from a doctor or health care professional.', 'Out of 112,807 people who received the vaccine, 3,150 were ""incapacitated"" after the first shot, unable to perform normal daily activities, unable to work, or required care from a doctor or health care professional.', 'Out of 112,807 people who received the vaccine, 3,150 were ""incapacitated"" after the first shot, unable to perform normal daily activities, unable to work, or required care from a health care professional.']",0,0,0,0,0,0,0,0,1,0,0,0
"[""I couldn't believe what I was reading."", ""I can't believe what I'm reading."", ""I can't believe what I'm reading. I don't take any of them."", ""I can't believe what I'm reading. I wouldn't take any vaccine for it.""]",0,0,0,0,0,0,0,0,0,0,0,1
"[""I don't trust anything that comes from the Trump administration."", ""I don't trust anything that comes from the Trump administration or the Trump family."", ""I don't trust anything that comes from the Trump administration or anyone associated with it."", ""I don't trust anything that comes from the Trump administration and I don't trust Pfizer stock either.""]",0,0,0,0,1,0,0,0,0,0,0,0
"[""You don't mention that Pfizer's vaccine could cause repercussions on other viruses as the bodies own immune system can be weakened by the vaccine, all in the public domain."", ""You don't mention that Pfizer's vaccine could cause repercussions on other viruses as the bodies own immune system can be weakened by the vaccine, all in the public domain, as well as the fact that it reduces the symptoms of the virus."", ""You don't mention that Pfizer's vaccine could cause repercussions on other viruses as the bodies own immune system can be weakened by the vaccine, all in the public domain, as well as the fact that this vaccine only reduces the symptoms of the virus."", ""You don't mention that Pfizer's vaccine could cause repercussions on other viruses as the bodies own immune system can be weakened by the vaccine, all in the public domain, as well as the fact that it reduces the symptoms of the virus, which is why we all do.""]",0,0,0,0,0,0,0,0,1,1,0,0
"['The vaccine was tested before it was released.', 'The vaccine was tested before being released.', 'I am not taking any vaccine until they thoroughly test it.', 'I am not taking any vaccine until they test it.']",0,0,0,0,0,0,1,0,0,0,0,0
"['Do you know how many people have died after getting the vaccine?', 'Do you know how many people have died because of getting the vaccine?', 'Do you know how many people have died because of the vaccine?', 'Do you know how many of the people who have gotten the vaccine have died?']",0,0,0,0,0,0,0,0,1,0,0,0
"[""Pfizer has a wonderful record of service to humanity, and it's paid out in fines for malpractice and malfeasance."", ""Pfizer has a wonderful record of service to humanity and it's paid out in fines for malpractice and malfeasance."", ""Pfizer has a wonderful record of service to humanity, and it's paid out in fines for malpractice."", ""Pfizer has a wonderful record of service to humanity and it's paid out in fines for malpractice.""]",0,0,1,0,0,0,0,0,0,0,0,0
"['A man in his late 60s with no comorbidities died from the effects of COVID-19.', 'A man in his 60s with no comorbidities died from the effects of COVID-19.', 'A man in his late 60s with no COVID-19 comorbidities died from the effects of COVID-19.', 'A man in his late 60s with no COVID-19 comorbidities died from complications of COVID-19.']",0,0,0,0,0,0,0,0,1,0,0,0
"['Johnson got a single shot vaccine.', 'A single shot vaccine has been given to Johnson n Johnson.', 'A single shot vaccine was given to Johnson.', 'A single shot vaccine has been given to Johnson.']",0,0,0,0,0,0,0,0,0,0,0,1
"[""Pfizer says the vaccine is useless if the second jab isn't given within the correct time frame, so what is the point?"", ""Pfizer says that the vaccine is useless if the second jab isn't given within the correct time frame, so what is the point?"", ""Pfizer says the vaccine is useless if the second jab isn't given within the correct time frame, so what is the point of this?"", ""Pfizer says the vaccine is useless if the second jab isn't given within the correct time frame, and if you don't give the second jab to your elderly frail patients.""]",0,0,0,0,0,0,0,0,0,1,0,0
"['The Nightingales are reserved for theatre of war.', 'Nightingales are reserved for theatre of war.', 'The Nightingales are reserved for war.', 'Nightingales are reserved for war.']",0,0,0,0,0,0,0,0,1,0,0,0
"['He should not have gotten the vaccine.', 'He should not have been given the vaccine.', 'He should not have gotten the vaccine because his organs started shutting down.', 'He should not have gotten the vaccine because his organs were shutting down.']",0,0,0,0,0,0,0,0,1,0,0,0
"['He was told he was going to be given a vaccine, but it was actually some whoopy woo stuff.', 'He was told he was going to be given a vaccine, but it was actually a whoopy woo thing.', 'He was told he was going to be given a vaccine, but it was actually a whoopy woo.', 'He was told he was going to be given a vaccine, but it was actually a whoopy woo stuff.']",0,0,0,0,0,0,0,0,0,1,0,0
"[""If a few people don't have the vaccine then it's up to them, but it should be their choice."", ""If a few people don't have the vaccine then it's up to them, but it shouldn't matter."", ""If a few people don't have the vaccine then it's up to them, but if everyone else has it then it's fine."", ""If a few people don't have the vaccine then it's up to them, but it shouldn't be a problem.""]",0,1,0,0,0,0,0,0,0,0,0,0
"['The occurrence of blood clot is reported by a consumer.', 'The occurrence of blood clot is reported by a consumer (subsequently medically confirmed).', 'The occurrence of blood clot is reported by a consumer (subsequently medically confirmed)', 'The occurrence of blood clot is reported by consumers.']",0,0,0,0,0,0,0,0,1,0,0,0
"[""If they're so safe, why do the pharmaceutical companies have measures in place to protect them from being sued if the vaccine doesn't work as promised?"", ""If the vaccine doesn't work as promised, why do the pharmaceutical companies have measures in place to protect them from being sued?"", ""If they're so safe, why do the pharmaceutical companies have measures in place to protect them from being sued if the vaccine doesn't work?"", ""If the vaccine doesn't work as promised, why do the pharmaceutical companies have measures in place that protect them from being sued?""]",0,0,0,0,0,0,0,0,0,1,0,0
"['I will not take a Covid test or vaccine.', 'I will not take a Covid test or the vaccine.', ""I won't take a Covid test or vaccine because it's being used as a political football."", ""I won't take a Covid test or vaccine.""]",0,0,0,0,1,0,0,0,0,0,0,0
"['Pfizer vaccine is not the best for us because it must remain frozen in transport and we are far away.', 'Pfizer vaccine is not the best for us because we are far away and must remain frozen in transport.', 'Pfizer vaccine is not the best for us because we are far away and it must remain frozen in transport.', 'Pfizer vaccine is not the best for us because we are far away and must remain frozen in transportation.']",0,0,0,0,0,0,0,0,1,0,0,0
"['If other options are available, the official U.S. group says Catholics should avoid the vaccine from Johnson & Johnson.', 'If other options are available, the official U.S. group says Catholics should avoid the vaccine.', 'If other options are available, the official U.S. group says that Catholics should avoid the vaccine from Johnson & Johnson.', 'If other options are available, the official U.S. group says Catholics should avoid the vaccine from Johnson and Johnson.']",0,0,0,0,0,0,0,0,0,0,1,0
"[""If vaccine side effects are severe, Moderna and Pfizer can't be sued, I would rather be on my own without it."", ""If vaccine side effects are severe, Moderna and Pfizer can't be sued, I would rather be without it."", ""If vaccine side effects are severe, Moderna and Pfizer can't be sued, I would rather be on my own without it, thank you so much!"", ""If vaccine side effects are severe, Moderna and Pfizer can't be sued, I would rather be on my own without it, thank you so much.""]",0,0,1,0,0,0,0,0,1,0,0,0
"['The death of a Ukrainian servicewoman was caused by acute circulatory disorders.', 'The death of a Ukrainian servicewoman was caused by a vaccine.', 'The death of a Ukrainian service woman was caused by a vaccine.', 'The death of a Ukrainian servicewoman was caused by the vaccine.']",0,0,0,0,0,0,0,0,1,0,0,0
"['COVID is a scam so big pharma can make money, like the swine flu scandale in 2009.', 'COVID is a scam so big pharma can make money like the swine flu scandale in 2009.', 'COVID is a scam so big pharma can make money, like the swine flu scandale in 2009, the same shit over again.', 'COVID is a scam so big pharma can make money, like the swine flu scandale in 2009, same shit over again.']",1,0,1,0,0,0,1,0,0,0,0,0
"[""Pfizer's vaccine is known to have side effects that can be worse than covid."", ""Pfizer's vaccine has side effects that can be worse than covid."", ""Pfizer's vaccine has side effects that are worse than covid."", ""Pfizer's vaccine is known to have side effects that are worse than covid.""]",0,0,0,0,0,0,1,0,1,0,0,0
"['The public trust in any treatment vaccine will be destroyed.', 'The public trust in any treatment vaccine will be destroyed by politicians.', 'The public trust in any vaccine will be destroyed by politicians.', 'The public trust in any vaccine will be destroyed.']",0,0,0,0,0,0,0,0,1,0,0,0
"['This family went to Disney world for spring break.', 'The family went to the Disney world for spring break.', 'This family went to the Disney world for spring break.', 'This family went to Disney world for spring break and they love not being vaccine free.']",0,0,0,0,0,0,0,0,0,0,0,1
"['If most Covid cases are mild/assymptomatic and most deaths are in care homes, we need to start asking those in charge.', 'We need to ask those in charge if most Covid cases are mild or if most deaths are in care homes.', 'If most Covid cases are mild/assymptomatic and most deaths are in care homes, we need to ask those in charge.', 'If most Covid cases are mild/assymptomatic and most deaths are in care homes, then we need to start asking those in charge.']",1,0,0,0,0,0,0,0,0,0,0,0
"['I\'d love to see the results of ""Covid Vaccine Deaths & Complications"" plugged into that same case modelling software.', 'The results of "" Covid Vaccine Deaths & Complications"" should be plugged into that same case modelling software.', 'I\'d love to see the results of ""Covid Vaccine Deaths & Complications"" plugged into that software.', 'I\'d love to see the results of ""Covid Vaccine Deaths & Complications"" plugged into that same case modelling software!']",0,0,0,0,0,0,0,0,1,0,0,0
"['I bet they were never told that they will still be in the same position even after having the vaccine.', 'I bet they were never told that they would be in the same position after having the vaccine.', 'I bet they were never told that they would be in the same position after having it.', 'I bet they were never told that they will still be in the same position even after having it.']",0,0,0,0,0,0,0,0,0,1,0,0
"['I was offered Oxford but declined it as I know of a lot of people who have had worse side effects than Pfizer.', 'I was offered Oxford but declined it as I know of many people who have had worse side effects than Pfizer.', 'I was offered Oxford but declined it as I know of a lot of people who have had even worse side effects than Pfizer.', 'I was offered Oxford but declined it as I know of a lot of people who have had worse side effects than Pfizer did.']",0,0,0,0,0,0,0,0,1,0,0,0
"[""It's really an intelligence test to see if anyone in the world is sick or not."", ""It's really an intelligence test to see if anyone in the world is sick or needs to be tested."", ""It's really an intelligence test to see if anyone in the world is sick."", ""It's really an intelligence test, how many people in the world are faking it to get rich?""]",0,1,0,0,0,0,0,0,0,0,0,0
"['Pfizer has been given legal protection if something goes wrong with the vaccine, so why would they fight for that if they were so sure that it does what they say it does people see through it and will not be taking it?', ""Pfizer has been given legal protection if something goes wrong with the vaccine, so why would they fight for that if they were so sure that it does what they say it does, and people won't be taking it?"", ""Pfizer has been given legal protection if something goes wrong with the vaccine, so why would they fight for that if they were so sure that it does what they say it does, and people won't take it?"", 'Pfizer has been given legal protection if something goes wrong with the vaccine, so why would they fight for that if they were so sure that it does what they say it does people see through it and will not be taking it.']",0,0,1,0,0,0,0,0,0,0,0,0
"['California woman who got both moderna vaccine shots died', 'California woman who got both moderna vaccine shots died.', 'California woman who got both Moderna vaccine shots died.', 'California woman who got both moderna vaccine shots has died.']",0,0,0,0,0,0,0,0,0,1,0,0
"[""Pfizer is seeking full approval for the COVID vaccine for children's health defense."", ""Pfizer is seeking full approval for the COVID vaccine for children's health."", 'Pfizer is seeking full approval for the COVID vaccine, which is reported to have caused vaccine injuries.', ""Pfizer is seeking full approval for the COVID vaccine for children's health defense, as reported vaccine injuries continue to climb.""]",0,0,0,0,0,0,0,0,1,0,0,0
"['Is the vaccine really being tested on infants?', 'As a parent, I would never allow that.', ""As a parent, I wouldn't allow that."", 'As a parent, I would not allow that.']",0,0,0,0,0,0,1,0,0,0,0,0
"[""Israeli researchers say they discovered a link between Pfizer's COVID vaccine and a rare blood disease."", ""Israeli researchers said on Monday that they discovered a link between Pfizer's COVID vaccine and a rare blood disease."", ""Israeli researchers said on Monday that they found a link between Pfizer's COVID vaccine and a rare blood disease."", ""Israeli researchers said on Monday that they discovered a link between Pfizer's vaccine and a rare blood disease.""]",0,0,0,0,0,0,0,0,1,0,0,0
"['He seems to be credible, if we go with his sources.', ""He seems to be credible, I'd like to know if Chinese had been subjected to vaccine trials."", 'He seems to be credible, if we go with our sources.', 'He seems credible to me, if we go with our sources.']",0,0,0,0,0,0,0,0,1,0,0,0
"['The province of Ontario halted the use of the vaccine because it causes bloodclots.', ""The Ford Nation's critics are blaming the provincial government for stopping the use of the AstraZeneca vaccine in the province."", 'The province of Ontario halted the use of this vaccine because it causes bloodclots.', ""The Ford Nation's critics are blaming the provincial government for stopping the vaccine's use in the province.""]",0,0,0,0,1,0,0,0,1,0,0,0
"['I was asked if I got the Covid Vaccine.', 'I gettin the Covid Vaccine, be a big hell no for me.', 'I gettin the Covid Vaccine, but be a big hell no for me.', 'I was asked if I got the Covid vaccine.']",0,0,0,0,0,0,0,0,0,0,0,1
"['Press the link to read the article.', 'Press the link and read the article.', 'The Royal Family, KensingtonRoyal,CasaReal,CourGrandDucale,Kronprinsparet, KingAbdullah II, and Kremlin are all mentioned in the article.', 'The Royal Family, KensingtonRoyal,CasaReal,CourGrandDucale,Kronprinsparet, KingAbdullah II, and Kremlin are mentioned in the article.']",0,0,0,0,0,0,0,0,1,0,0,0
"[""Three six month trials in different countries doesn't add up to eighteen months of follow up, right?"", ""Three six month trials in different countries doesn't add up to eighteen months worth of follow up, right?"", ""Three six month trials in different countries doesn't add up to 18 months of follow up, right?"", ""Three six month trials in different countries doesn't add up to eighteen months worth of follow up.""]",0,0,0,0,0,0,1,0,0,0,0,0
"[""If the virus they put in you doesn't have a cure, where is it going?"", 'If the virus they put in you has no cure, where is it going?', 'If they put a virus in you that has no cure, where is it going?', ""If the virus they put in you doesn't have a cure, where is it?""]",0,0,0,0,0,0,0,0,0,1,0,0
"['This is not the first time a medical professional has had an allergic reaction to a vaccine.', 'The Post reported earlier this month that 5 people in the US had allergic reactions after Pfizer shot.', 'The Post reported earlier this month that 5 people in the US had allergic reactions to Pfizer vaccine.', 'The Post reported earlier this month that 5 people in the US had allergic reactions after Pfizer shot:']",0,0,0,0,0,0,0,0,1,0,0,0
"['If the vaccine is to be rolled out without proper testing, there will be more deaths from the vaccine than from Covid.', 'If the vaccine is to be rolled out without proper testing for safety, it will be ridiculous.', 'If the vaccine is to be rolled out without proper testing, more people will die from side effects than from Covid.', 'If the vaccine is to be rolled out without proper testing, there will be more deaths from vaccine side effects than from Covid.']",0,0,0,0,0,0,1,0,1,0,0,0
"['Pfizer is a bad outfit and any vaccine from them is not trustworthy.', 'Any vaccine from Pfizer is not trustworthy.', 'Pfizer is a bad outfit and any vaccine from them is unreliable.', 'Pfizer is a bad outfit and any vaccine from them is not reliable.']",0,0,0,0,0,0,0,0,0,1,0,0
"['The public are being coerced into being part of an experiment that could kill, disabling or make them infertile.', 'The public is being coerced into being part of an experiment that could kill, disabling or make them infertile.', 'The public are being coerced into being part of an experiment that could kill, disabling, or make them infertile.', ""The public are being coerced into being part of an experiment that could kill, disabling or make them infertile, if they don't retweet this message.""]",0,0,0,0,0,0,1,0,1,1,0,0
"[""It was speculated that the Moderna vaccine's reactions could be linked to a common ingredient between the 2 vaccines."", ""It was speculated that the Moderna vaccine's reactions could be linked to a common ingredient between the 2 vaccines, particularly the use ofPEG, which is used in the LNP."", ""It was speculated that the Moderna vaccine's reactions could be linked to a common ingredient between the 2 vaccines, particularly the use ofPEG, which is used in the lipid nanoparticules."", ""It was speculated that the Moderna vaccine's reactions could be linked to a common ingredient between the 2 vaccines, particularly the use ofPEG, which is used in the LNP carrier.""]",0,0,0,0,0,0,0,1,0,0,0,0
"['We all know that this covid nonsense has everything to do with generating revenue and nothing to do with safety, so why not just give us an option of $50 payment to exempt out of your asylum nightmare?', 'We all know that this covid nonsense has everything to do with generating revenue and nothing to do with safety, so why not just give us an option of $50 payment to exempt us from your asylum nightmare?', 'We all know that this covid nonsense has everything to do with generating revenue and nothing to do with safety, so why not just give us an option of $50 payment to exempt out of your asylum nightmare.', 'We all know that this covid nonsense has everything to do with generating revenue and nothing to do with safety, so why not just give us an option of $50 payment to get out of your asylum nightmare?']",0,0,1,0,0,0,0,0,0,0,0,0
"[""My brother became ill with Bell's palsy after getting the Oxford vaccine, and you are part of the propaganda."", ""My brother became ill with Bell's palsy after receiving the Oxford vaccine, and you are part of the propaganda."", ""My brother became ill with Bell's palsy and extreme ear pain after being exposed to the Oxford vaccine, and you are part of the propaganda."", ""My brother became ill with Bell's palsy and extreme ear pain after being exposed to the Oxford vaccine and you are part of the propaganda.""]",0,0,0,0,0,0,0,0,1,0,0,0
"['Russia will implant chips into you if you get the Russian vaccine.', 'He has his heart set on the Russian vaccine.', 'He has his heart set on the Russian vaccine and so henywayanyday it.', 'He has his heart set on the Russian vaccine and so henywayanyday.']",0,0,0,1,0,1,0,1,0,0,0,0
"['The Covid-19 vaccine trial was paused due to unexplained illness.', 'The Covid-19 vaccine trial was paused due to an unexplained illness.', 'The Covid-19 vaccine was paused due to unexplained illness.', 'The Covid-19 vaccine trial was paused due to unexplained illness, and I will never take it.']",1,0,0,0,0,0,0,0,1,0,0,0
"['A vaccine stimulates the production of antibodies and provides immunity against diseases.', 'A vaccine is a substance that stimulates the production of antibodies.', 'A vaccine is a substance that stimulates the production of immune cells.', 'A vaccine is a substance that stimulates the production of antibodies against diseases.']",0,0,0,0,0,0,0,0,0,1,0,0
"['I am afraid that Tiffany is dead after the Covid Vaccine.', ""I'm afraid that Tiffany is dead after the Covid Vaccine."", 'I am afraid that Tiffany is dead after the Covid vaccine.', 'I am afraid Tiffany is dead after the Covid Vaccine.']",0,0,0,0,0,0,0,0,1,0,0,0
"[""There's a difference between desperation and coercion."", 'There is a difference between desperate public and coercion.', ""There's a difference between desperate public and craven public."", 'There is a difference between desperate public and craven public.']",0,1,0,0,0,0,0,0,0,0,0,0
"[""It's not clear if the vaccine will prevent you from getting sick or if it will cause long term side effects."", ""It's not certain if the vaccine will prevent you from getting sick or if it will cause long term side effects."", ""It's not clear if the vaccine will prevent you from getting sick, or if it will cause long term side effects."", ""It's not clear if the vaccine will prevent you from getting the virus or if it will cause infertility.""]",0,0,0,0,0,0,0,0,1,1,0,0
"[""I don't believe that the US Gov. is doing anything to stop the spread of this virus or the vaccine."", ""I don't believe that the US Gov. is doing anything to stop the spread of the virus or the vaccine."", ""I don't believe that the US Gov. is doing anything to stop the spread of the H1N1 virus or the vaccine."", ""I don't believe that the US Gov. is doing anything to stop the spread of the H1N1 virus and vaccine.""]",0,0,1,1,1,0,0,0,0,0,0,0
"['They usually take years to approve a vaccine.', 'They usually take years to test and approve a vaccine.', 'They usually take years to approve a vaccine, so you can take this one.', 'They usually take years to approve a vaccine and test it.']",0,0,0,0,0,0,1,0,0,0,0,0
"[""A priest who took part in Moderna's high-dose cohort died, possibly of a heart attack."", ""A priest who took part in Moderna's high-dose cohort died, possibly of a heart attack, within 43 days of receiving the vaccine."", ""A priest who took part in Moderna's high-dose cohort died of a heart attack."", ""A priest who took part in Moderna's high-dose cohort died of a heart attack, according to reports.""]",0,0,0,0,0,0,0,0,1,0,0,0
